caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
Щось порадите?	Гіганти наносять сильні удари, але вони досить повільні. Хитрість полягає в тому, щоб бути мобільним: вдарте їх і вийдіть з їхньої зони досяжності. Повторюйте ці дії, доки звір не помре.|Якщо ви збираєтеся битися з нежиттю, вам знадобиться принаймні срібна зброя. Більшості з них не вдасться завдати шкоди ні залізом, ні сталлю.|Заклинателі - небезпечні суперники. Але їм зазвичай бракує фізичної сили. Блокуйте їх і ріжте в ближньому бою. Неможливо накласти закляття, коли тобі встромили лезо в шию, чи не так?|Якщо ви полюєте на павуків або скорпіонів, завжди майте при собі зілля зцілення від паралічу. Бути з'їденим живцем і паралізованим - це болісна смерть.|Завжди носіть з собою зілля, що лікує отруту і зцілює від хвороби. Ніколи не знаєш, коли натрапиш на отруйного звіра.|Німфи виглядають привабливо, але не обманюйте себе: вони використають свою фейську магію, щоб вбити вас.|Якщо ви б'єтеся з вампірами, остерігайтеся їхніх заклинань сну. Якщо ви втратите свідомість, то більше не прокинетеся. О, і обов'язково відвідайте храм після битви з одним з цих нечистих створінь. Обережність ніколи не буває зайвою.|Даедра - могутні вороги. Дуже сильні. Пам'ятайте, що найкраща стратегія - це та, яка збереже вам життя. А іноді найкращою стратегією є втеча.|Гігантські Щури та Гігантські Кажани не такі вже й небезпечні. Але ці шкідники є переносниками хвороб. Один з моїх друзів ледь не помер від Гнилі Крові через крихітний укус.|Якщо вам доведеться битися з летючими істотами, такими як Гарпії або Біси, вам слід шукати укриття. Не дозволяйте їм використовувати політ на свою користь. Змусьте їх приземлитися.|Не стійте на місці, коли обмінюєтесь ударами з ворогами, яких зустрічаєте. Вас так вб'ють! Бийте їх, а потім швидко відступайте. Рухайтеся і наносьте наступний удар, коли побачите відкриту позицію.|Різні істоти мають різні слабкості. Візьмемо, наприклад, нежить - вдарите її сріблом або магією, і вона легко розсиплеться. Даедра? Вам знадобиться щось могутніше і зачароване.|Не можна весь час покладатися лише на одну зброю. Деяких ворогів, наприклад, Привидів або Примар, не можна вбити звичайною сталлю. Завжди майте при собі срібний клинок або зачаровану зброю.|Зброя та броня не вічні. Якщо ви не будете доглядати за ними, ви опинитеся посеред бою зі зламаним клинком.Завжди майте під рукою заклинання або зілля для захисту від вогню, морозу та ударів. Ви можете зіткнутися з різними типами ворогів, які застосовують неприємні стихійні атаки.		Faction Guild Group	==	11	NoLore	==	2			
Щось порадите?	Левітація - корисне заклинання. Ви можете використати його, щоб дістатися до високих місць у підземеллях або, ще краще, вилетіти з небезпеки, коли вороги підбираються надто близько, щоб ви змогли себе захистити.|Не думайте, що зцілення - це тільки для слабаків. Просте заклинання зцілення може врятувати вашу шкуру більше разів, ніж ви здатні собі уявити.|Навіщо покладатися на готові заклинання, якщо можна створити власні? Зверніться до майстра заклинань Гільдії. Створіть собі закляття, які відповідають вашим потребам.|Ви ж знаєте, що не потрібно стояти на місці, щоб кинути заклинання? Кастуйте на ходу! Якщо ви досить швидкі, ви можете закінчити бій ще до того, як ворог нападе на вас.|Не розкидайтеся заклинаннями, як бовдур. Прибережіть свою магічну силу для справжніх боїв. Навіщо витрачати магію на пацюка, коли можна просто вдарити його посохом?		Faction Guild Group	==	10	NoLore	==	2			
Щось порадите?	Якщо варта полює на вас, то краще забирайтесь геть з цього регіону. Є багато інших місць і багато інших цілей, які можна пограбувати в темряві.|Крадіжка з магазину - ризикована справа. Товсті торговці завжди пильно стежать за своїми цінностями. Хитрість полягає в тому, щоб вломитися вночі, коли вони міцно сплять з набитим бараниною і вином черевом.|Якщо ви не дуже добре вмієте відмикати замки, ви можете розбити двері. Але будьте обережні, варту миттєво сповістять про це.|Якщо за вашу голову призначена винагорода, вам слід покинути регіон і залягти на дно на кілька місяців. Незабаром про вас забудуть.|Вам варто потренуватися в лазанні. Мені ніколи не доводилося бачити, щоб ці нероби на вахті змогли зловити вправного кота-злодія, який стрибає з даху на дах.|В'язниця - це не весело. Але це все одно краще, ніж смерть. Якщо вас загнали в кут вартові, краще здатися і відсидіти свій термін. Більшості із нас довелося провести певний час у в'язниці.|Монстри не такі вже й розумні. Іноді вони застрягають за стінами або спотикаються об каміння. Використовуйте це на свою користь. Знайдіть місце, де вони не зможуть вас дістати, і атакуйте їх заклинаннями або стрілами з безпечної відстані.		Faction Guild Group	==	4	Faction Social Group	==	4	NoLore	==	2
Щось порадите?	Ми виконуємо замовлення не заради грошової вигоди, а щоб догодити Мефалі, Цариці Облівіону. Проте ніщо не заважає вам розграбовувати трупи ваших жертв.|Тінь - це ваш союзник. Нападайте на ціль ззаду, перебуваючи під захистом солодких обіймів темряви.|-Ваш обов'язок - вбити свою ціль. Якщо при цьому вам доведеться вбити ще кількох людей, нехай так і буде.|Це хороша звичка - регулярно переходити зі святилища в святилище. Коли ви стаєте сумнозвісними у своїй вотчині, йдіть служити Темному деінде.		Faction Guild Group	==	3	NoLore	==	2			
Гільдія Бійців	Дехто каже, що ми просто прославлені найманці. Це неправда. Ми ще й славетні мисливці на монстрів.|Боротьба з монстрами - захоплююча, але й небезпечна робота. Багато моїх товаришів були вбиті мерзенними тварюками.|У Гільдії не прийнято скиглити. Ми жорстка компанія.|Ми усуваємо проблеми, а не створюємо їх. Ну, більшу їх частину. Треба бути сильним, щоб стати бійцем. І треба бути розумним, щоб прожити достатньо довго, щоб стати досвідченим бійцем.|Робота Гільдії - захищати тих, хто може заплатити, і боронити їх від монстрів.		Faction Guild Group	==	11	NoLore	==	2			
Хто ви?	Я - @Name@, Тренер Гільдії Бійців. Дайте мені знати, якщо ви захочете відточити свої бойові навички.		Faction Guild Group	==	11	NoLore	==	2	Faction ID	==	849
Хто ви?	Я - @Name@, Зброяр Гільдії Бійців. Я можу відремонтувати незачаровану зброю та обладунки для будь-якого члена Гільдії Бійців.		Faction Guild Group	==	11	NoLore	==	2	Faction ID	==	850
Хто ви?	Я - @Name@, Керуючий у Гільдії Бійців. Я роздаю завдання, а ви їх виконуєте.		Faction Guild Group	==	11	NoLore	==	2	Faction ID	==	851
Гільдія Бійців	Гільдія Бійців - це досвідчена служба найманців. Вони часто наймають шукачів пригод в якості охоронців, ескорту, а іноді і для більш таємних місій.|Просто група найманих охоронців, нічого таємничого чи романтичного.|Гільдія Бійців - це те, що випливає з її назви - орден найманих бійців та інших найманців.|Гільдія Бійців - це місце, куди всі, хто має хоч трохи золота, йдуть, щоб найняти додаткову охорону, ескорт, тощо. Вони вкрай необхідні для ведення справ у регіоні %crn.										
Гільдія Магів	Наша благородна установа була заснована Ванусом Галеріоном близько 2Е 230 року, щоб поширювати знання про магічні мистецтва серед мирян.|Гільдія об'єднує майстрів усіх шкіл магії.|Ми є провідною науковою установою Тамріеля. Кожне відділення Гільдії - це зал знань.|Для Гільдії Магів всі школи магії є чинними. Ми заохочуємо практику всіх магічних мистецтв.|Ми пропонуємо більшість наших послуг усім бажаючим, хоча членам нашої організації надається суттєва знижка.	-|школи магії|-|школи магії|послуги	Faction Guild Group	==	10	NoLore	==	2			
